OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,SalesTeam,_CustomerID,Customer,Sales_Region,_StoreID,_ProductID,Product,OrderQuantity,DiscountApplied,UnitPrice,UnitCost,CityName,County,StateCode,State,Type,Latitude,Longitude,AreaCode,Population,HouseholdIncome,MedianIncome,LandArea,WaterArea,TimeZone
SO - 000101,In-Store,WARE-UHY1004,12/31/2017,5/31/2018,6/14/2018,6/19/2018,USD,6,Joshua Bennett,15,Rochester Ltd,Northeast,259,12,Dining Furniture,5.000000,0.075000,1963.100000,1001.18,Babylon (Town),Suffolk County,NY,New York,Town,40.640920,-73.316690,631.000000,213776.000000,68789.000000,80327.000000,135481314.000000,160302131.000000,America/New York
SO - 000102,Online,WARE-NMK1003,12/31/2017,5/31/2018,6/22/2018,7/2/2018,USD,14,Paul Holmes,20,Pacific Ltd,Midwest,196,27,Wreaths,3.000000,0.075000,3939.600000,3348.66,Overland Park,Johnson County,KS,Kansas,City,38.982230,-94.670790,913.000000,186515.000000,74830.000000,72463.000000,194562941.000000,1309517.000000,America/Chicago
SO - 000103,Distributor,WARE-UHY1004,12/31/2017,5/31/2018,6/21/2018,7/1/2018,USD,21,Samuel Fowler,16,"3LAB, Ltd",Midwest,213,16,Stemware,1.000000,0.050000,1775.500000,781.22,Ann Arbor,Washtenaw County,MI,Michigan,City,42.270870,-83.726330,734.000000,117070.000000,47179.000000,55990.000000,72727009.000000,2254528.000000,America/Detroit
SO - 000104,Wholesale,WARE-NMK1003,12/31/2017,5/31/2018,6/2/2018,6/7/2018,USD,28,Carlos Miller,48,"Fenwal, Corp",West,107,23,Accessories,8.000000,0.075000,2324.900000,1464.69,New Haven,New Haven County,CT,Connecticut,City,41.308150,-72.928160,203.000000,130322.000000,49771.000000,37192.000000,48407373.000000,3739487.000000,America/New York
SO - 000105,Distributor,WARE-NMK1003,4/10/2018,5/31/2018,6/16/2018,6/26/2018,USD,22,Joe Price,49,Bare ,Northeast,111,26,Candles,8.000000,0.100000,1822.400000,1476.14,Waterbury,New Haven County,CT,Connecticut,City,41.558150,-73.051500,203.000000,108802.000000,40213.000000,40467.000000,73880017.000000,1086045.000000,America/New York
SO - 000106,Online,WARE-PUJ1005,12/31/2017,5/31/2018,6/8/2018,6/13/2018,USD,12,Carl Nguyen,21,Ohio ,Midwest,285,1,Cookware,5.000000,0.050000,1038.500000,446.56,Norman,Cleveland County,OK,Oklahoma,City,35.222570,-97.439480,405.000000,120284.000000,44911.000000,51491.000000,463011592.000000,27576719.000000,America/Chicago
SO - 000107,In-Store,WARE-XYS1001,12/31/2017,5/31/2018,6/8/2018,6/14/2018,USD,10,Jonathan Hawkins,14,Linde ,West,6,5,Bathroom Furniture,4.000000,0.150000,1192.600000,536.67,Chandler,Maricopa County,AZ,Arizona,City,33.306160,-111.841250,480.000000,260828.000000,88973.000000,72695.000000,168153308.000000,260378.000000,America/Phoenix
SO - 000108,In-Store,WARE-PUJ1005,4/10/2018,5/31/2018,6/26/2018,7/1/2018,USD,6,Joshua Bennett,9,Ei ,Northeast,280,46,Sculptures,5.000000,0.050000,1815.700000,1525.19,Cleveland,Cuyahoga County,OH,Ohio,City,41.499500,-81.695410,216.000000,388072.000000,167100.000000,26150.000000,201255242.000000,12332080.000000,America/New York
SO - 000109,In-Store,WARE-PUJ1005,12/31/2017,6/1/2018,6/16/2018,6/21/2018,USD,4,Chris Armstrong,9,Ei ,Northeast,299,47,Audio,4.000000,0.300000,3879.300000,2211.20,North Charleston,Dorchester County/Berkeley County/Charleston County,SC,South Carolina,City,32.917820,-80.065030,843.000000,108304.000000,37597.000000,39543.000000,190807625.000000,8969264.000000,America/New York
SO - 000110,In-Store,WARE-UHY1004,12/31/2017,6/1/2018,6/29/2018,7/1/2018,USD,10,Jonathan Hawkins,33,Trigen ,West,261,13,Bakeware,8.000000,0.050000,1956.400000,1212.97,Brooklyn,Kings County,NY,New York,Borough,40.624720,-73.952220,347.000000,2636735.000000,880727.000000,32135.000000,180000000.000000,70000000.000000,America/New York
SO - 000111,Distributor,WARE-XYS1001,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,23,Douglas Tucker,21,Ohio ,Midwest,17,38,Wardrobes,6.000000,0.100000,201.000000,124.62,Antioch,Contra Costa County,CA,California,City,38.004920,-121.805790,925.000000,110542.000000,33718.000000,64329.000000,76173197.000000,1842711.000000,America/Los Angeles
SO - 000112,In-Store,WARE-NMK1003,4/10/2018,6/1/2018,6/7/2018,6/17/2018,USD,10,Jonathan Hawkins,21,Ohio ,West,152,40,Rugs,5.000000,0.150000,6277.900000,2762.28,Aurora (Township),Kane County,IL,Illinois,Township,41.768870,-88.318930,630.000000,148308.000000,44798.000000,49797.000000,89841331.000000,1727843.000000,America/Chicago
SO - 000113,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/22/2018,7/2/2018,USD,4,Chris Armstrong,36,O.E. Ltd,Northeast,317,39,Floor Lamps,5.000000,0.050000,1051.900000,641.66,Denton,Denton County,TX,Texas,City,33.214840,-97.133070,940.000000,131044.000000,43745.000000,49100.000000,241927463.000000,4345974.000000,America/Chicago
